epoch,accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.8543417453765869,0.8201918005943298,1.3688567876815796,0.9036312699317932,0.783519446849823,0.9024389982223511,0.8914053440093994,1.310849666595459,0.9390243887901306,0.869918704032898
1,0.8627451062202454,0.8234371542930603,1.3561831712722778,0.9003724455833435,0.7914338111877441,0.9024389982223511,0.8757259249687195,1.3013577461242676,0.9024389982223511,0.8719512224197388
2,0.8767507076263428,0.841979444026947,1.3451234102249146,0.9217877388000488,0.8054002523422241,0.9024389982223511,0.8878047466278076,1.2929490804672241,0.9268292784690857,0.8821137547492981
3,0.8627451062202454,0.8248738646507263,1.339982032775879,0.9106146097183228,0.7844505310058594,0.9024389982223511,0.8875725269317627,1.281830906867981,0.9288618564605713,0.8861789107322693
4,0.8613445162773132,0.8440813422203064,1.3416290283203125,0.9255120754241943,0.8049347996711731,0.9024389982223511,0.8696863055229187,1.278389811515808,0.8983740210533142,0.8597561120986938
5,0.8627451062202454,0.8299283385276794,1.3284424543380737,0.924580991268158,0.7867782711982727,0.9024389982223511,0.8714286088943481,1.2716200351715088,0.9126016497612,0.8597561717033386
6,0.8655462265014648,0.8321099281311035,1.3186842203140259,0.91573566198349,0.7905027270317078,0.9024389982223511,0.861556351184845,1.2653335332870483,0.894308865070343,0.8556910157203674
7,0.8655462265014648,0.8542168736457825,1.3135148286819458,0.9436684846878052,0.8123834729194641,0.9024389982223511,0.9150987267494202,1.2572766542434692,0.9451219439506531,0.9024389982223511
8,0.8725489974021912,0.8331471681594849,1.3172307014465332,0.9082867503166199,0.7974859476089478,0.9085366129875183,0.9053426384925842,1.255874514579773,0.9451219439506531,0.8861788511276245
9,0.8683473467826843,0.8344507217407227,1.3135778903961182,0.928305447101593,0.7909682989120483,0.9085366129875183,0.8946573138237,1.2504183053970337,0.9369919300079346,0.8882113099098206
10,0.8739495873451233,0.8269752860069275,1.305615782737732,0.9082868099212646,0.7905027270317078,0.9024389982223511,0.8879209160804749,1.2436529397964478,0.9288617372512817,0.8861788511276245
11,0.8599439859390259,0.8390530347824097,1.307196021080017,0.923184335231781,0.8044692873954773,0.9024389982223511,0.8483158946037292,1.2397193908691406,0.8780487775802612,0.8495935797691345
12,0.8655462265014648,0.8434959053993225,1.3014024496078491,0.9124767184257507,0.8114524483680725,0.9024389982223511,0.8758420348167419,1.2329577207565308,0.9146341681480408,0.869918704032898
13,0.8683473467826843,0.8372175097465515,1.2854827642440796,0.9324953556060791,0.7923649549484253,0.9024389982223511,0.856445848941803,1.2258532047271729,0.8882113099098206,0.8475610017776489
14,0.8697478771209717,0.8153501749038696,1.2776007652282715,0.8966480493545532,0.7737430334091187,0.9024389982223511,0.8792102336883545,1.2233864068984985,0.9186992049217224,0.8658536672592163
15,0.8669467568397522,0.8345840573310852,1.2757123708724976,0.9138734936714172,0.797020435333252,0.9024389982223511,0.8648084402084351,1.2188935279846191,0.9105690717697144,0.8597561120986938
16,0.8725489974021912,0.8378825187683105,1.2710787057876587,0.9315642714500427,0.7942272424697876,0.8963414430618286,0.8871080279350281,1.2131942510604858,0.9268292784690857,0.8841463327407837
17,0.8571428656578064,0.8264964818954468,1.2839235067367554,0.9180632829666138,0.7905027270317078,0.8963414430618286,0.8519164323806763,1.209309697151184,0.8739838004112244,0.8536585569381714
18,0.8711484670639038,0.8444798588752747,1.2678312063217163,0.9287710189819336,0.8035381436347961,0.9085366129875183,0.8703832626342773,1.2082996368408203,0.9085366129875183,0.8658535480499268
19,0.8543417453765869,0.8304601907730103,1.2585984468460083,0.9129422903060913,0.7942272424697876,0.9024389982223511,0.8746805787086487,1.2032541036605835,0.9105690717697144,0.8658536672592163
20,0.8781512379646301,0.846555233001709,1.251861572265625,0.923184335231781,0.8081936240196228,0.9024389982223511,0.8826945424079895,1.197359561920166,0.9308942556381226,0.8719512224197388
21,0.8627451062202454,0.8232245445251465,1.247191071510315,0.9045624136924744,0.7849161028862,0.9024389982223511,0.8594655990600586,1.1931458711624146,0.9085366129875183,0.8455283641815186
22,0.8655462265014648,0.8375099897384644,1.2498438358306885,0.9194599390029907,0.7979514598846436,0.9024389982223511,0.883507490158081,1.1890537738800049,0.9146341681480408,0.8841463327407837
